"price","year","mileage","diesel","hybrid","mt","front.drive","rear.drive","engine.power","engine.capacity","sedan","hatchback","wagon","coupe","cabriolet","minivan","pickup"
"74",1450000,2013,45000,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"75",1125000,2010,20000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"76",1170000,2010,110000,1,0,0,0,1,231,3.5,1,0,0,0,0,0,0
"77",1300000,2010,85000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"78",850000,2010,270000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"79",1290000,2012,70000,0,0,0,1,0,184,1.8,1,0,0,0,0,0,0
"80",1210000,2010,50000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"81",1150000,2012,1e+05,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"82",1100000,2011,60000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"83",1170000,2011,70000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"84",1150000,2010,60000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"85",1300000,2012,80000,0,0,0,0,1,184,1.8,0,0,1,0,0,0,0
"86",1300000,2011,50000,0,0,0,0,1,204,2,0,0,0,1,0,0,0
"87",1450000,2012,65000,0,0,0,0,1,185,2.5,0,0,0,1,0,0,0
"88",1230000,2010,91000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"89",980000,2010,129000,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
"90",1250000,2011,50000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"91",1149000,2010,129000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"92",1270000,2010,70000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"93",1050000,2011,82000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"94",1330000,2011,89366,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"95",1290000,2012,99000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"96",1070000,2010,92000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"97",1320000,2010,92000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"98",1100000,2010,76000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"99",1195000,2012,85000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"100",1150000,2010,70000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"101",1200000,2010,106000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"102",1200000,2012,90000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"103",1140000,2010,170000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"104",1350000,2012,42000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"105",1440000,2013,59610,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"106",1125000,2011,59500,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"107",1300000,2012,46000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"108",1200000,2012,47000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"109",970000,2011,70000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"110",1499000,2012,23000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"111",999000,2011,1e+05,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"112",1299000,2011,85000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"113",1195000,2011,78000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"114",1220000,2012,71000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"115",1280000,2011,65000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"116",1290000,2011,60000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"117",1300000,2012,107000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"118",1349000,2012,14000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"119",1e+06,2010,75695,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"120",1420000,2013,46000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"121",1100000,2011,73000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"122",950000,2012,30000,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"123",1150000,2010,98000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"124",1160000,2011,41000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"125",1400000,2011,47000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"126",1270000,2011,125000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"127",1100000,2011,97000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"128",1190000,2011,119000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"129",1300000,2012,79000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"130",1199000,2013,65000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"131",840000,2010,153000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"132",1320000,2011,85000,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
